nu,lu,nl,ll,A_s-1,f_abs,R2_au2,Z,M_au,source
2,1,1,0,626840000.0,0.4162,1.6648,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
3,1,1,0,167350000.0,0.079101,0.26697,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
3,1,2,0,22461000.0,0.43487,9.3931,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
3,2,2,1,64688000.0,0.69578,22.543,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
3,0,2,1,6317200.0,0.01359,0.8806,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
4,1,1,0,68225000.0,0.028991,0.092771,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
4,1,2,0,9673500.0,0.10276,1.6442,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
4,2,2,1,20637000.0,0.1218,2.9231,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
4,0,2,1,2579600.0,0.0030449,0.14615,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
4,1,3,0,3066900.0,0.48471,29.914,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
4,2,3,1,7041600.0,0.61829,57.236,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
4,3,3,2,13796000.0,1.0175,104.66,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
4,0,3,1,1836500.0,0.03225,5.9709,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
4,1,3,2,347730.0,0.010992,1.6959,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
5,1,1,0,34395000.0,0.013938,0.043557,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
5,1,2,0,4951100.0,0.04193,0.599,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
5,2,2,1,9430700.0,0.044371,0.9508,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
5,0,2,1,1289400.0,0.0012133,0.051997,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
5,1,3,0,1638600.0,0.12102,5.1057,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
5,2,3,1,3393400.0,0.13923,8.8109,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
5,3,3,2,4544700.0,0.15664,11.014,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
5,0,3,1,905200.0,0.0074283,0.94014,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
5,1,3,2,149620.0,0.0022101,0.23309,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
5,1,4,0,737600.0,0.54415,72.553,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
5,2,4,1,1486600.0,0.60929,121.86,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
5,3,4,2,2585900.0,0.89025,197.83,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
5,4,4,3,4256600.0,1.3458,314.02,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
5,0,4,1,645440.0,0.052907,21.163,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
5,1,4,2,188570.0,0.027822,9.274,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
5,2,4,3,50505.0,0.0088712,2.7599,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,1,1,0,19740000.0,0.0077995,0.024067,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,1,2,0,2859900.0,0.021629,0.292,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,2,2,1,5147900.0,0.021629,0.43799,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,0,2,1,735410.0,0.00061798,0.025028,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,1,3,0,955630.0,0.051394,1.8502,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,2,3,1,1878800.0,0.056136,3.0313,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,3,3,2,2147200.0,0.053891,3.2334,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,0,3,1,507460.0,0.0030323,0.32749,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,1,3,2,78285.0,0.00084204,0.075784,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,1,4,0,445870.0,0.13812,11.934,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,2,4,1,862680.0,0.14846,19.241,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,3,4,2,1287700.0,0.18615,26.806,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,4,4,3,1373600.0,0.18235,27.572,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,0,4,1,358440.0,0.012337,3.1978,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,1,4,2,94221.0,0.0058375,1.2609,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,2,4,3,21462.0,0.0015829,0.31912,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,1,5,0,243090.0,0.60776,149.18,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,2,5,1,449740.0,0.62467,229.99,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
6,3,5,2,723660.0,0.84431,345.4,1.0,1836.152673,Hoang-Binh ba5 (ADUU v1.0)
