type,n_upper,l_upper,label_upper,n_lower,l_lower,label_lower,A_s-1,idx_upper,idx_lower
bund_to_bund,10,-1,n10(bund),9,-1,n9(bund),71552.9165,1,0
bund_to_bund,11,-1,n11(bund),9,-1,n9(bund),28146.64962809917,2,0
bund_to_bund,11,-1,n11(bund),10,-1,n10(bund),43791.590661157024,2,1
bund_to_bund,12,-1,n12(bund),9,-1,n9(bund),14277.543506944443,3,0
bund_to_bund,12,-1,n12(bund),10,-1,n10(bund),17749.903430555554,3,1
bund_to_bund,12,-1,n12(bund),11,-1,n11(bund),28004.78976388889,3,2
bund_to_bund,13,-1,n13(bund),9,-1,n9(bund),8196.487414201183,4,0
bund_to_bund,13,-1,n13(bund),10,-1,n10(bund),9236.166982248522,4,1
bund_to_bund,13,-1,n13(bund),11,-1,n11(bund),11639.61950295858,4,2
bund_to_bund,13,-1,n13(bund),12,-1,n12(bund),18579.31205325444,4,3
bund_to_bund,14,-1,n14(bund),9,-1,n9(bund),5082.557051020407,5,0
bund_to_bund,14,-1,n14(bund),10,-1,n10(bund),5420.274979081633,5,1
bund_to_bund,14,-1,n14(bund),11,-1,n11(bund),6189.062082653063,5,2
bund_to_bund,14,-1,n14(bund),12,-1,n12(bund),7888.61823979592,5,3
bund_to_bund,14,-1,n14(bund),13,-1,n13(bund),12716.324392857143,5,4
bund_to_bund,15,-1,n15(bund),9,-1,n9(bund),3327.1678933333324,6,0
bund_to_bund,15,-1,n15(bund),10,-1,n10(bund),3426.0176715555554,6,1
bund_to_bund,15,-1,n15(bund),11,-1,n11(bund),3701.2413115555555,6,2
bund_to_bund,15,-1,n15(bund),12,-1,n12(bund),4273.220277777778,6,3
bund_to_bund,15,-1,n15(bund),13,-1,n13(bund),5499.222133777779,6,4
bund_to_bund,15,-1,n15(bund),14,-1,n14(bund),8939.277053333335,6,5
bund_to_res,9,-1,n9(bund),1,0,1S,214377.77777777775,0,0
bund_to_res,9,-1,n9(bund),2,0,2S,31270.740740740737,0,1
bund_to_res,9,-1,n9(bund),2,1,2P,90360.74074074073,0,2
bund_to_res,9,-1,n9(bund),3,0,3S,10508.518518518518,0,3
bund_to_res,9,-1,n9(bund),3,1,3P,34141.358024691355,0,4
