idx,n,l,label,type,gamma_rad_s-1
0,1,0,1S,resolved,0.0
1,2,0,2S,resolved,0.0
2,2,1,2P,resolved,626840000.0
3,3,0,3S,resolved,6317200.0
4,3,1,3P,resolved,189811000.0
5,3,2,3D,resolved,64688000.0
6,4,0,4S,resolved,4416100.0
7,4,1,4P,resolved,81313130.0
8,4,2,4D,resolved,27678600.0
9,4,3,4F,resolved,13796000.0
10,5,0,5S,resolved,2840040.0
11,5,1,5P,resolved,42060490.0
12,5,2,5D,resolved,14361205.0
13,5,3,5F,resolved,7130600.0
14,5,4,5G,resolved,4256600.0
15,6,0,6S,resolved,1869630.0
16,6,1,6P,resolved,24512983.0
17,6,2,6D,resolved,8399684.0
18,6,3,6F,resolved,4169939.0
19,6,4,6G,resolved,2479900.0
20,6,5,6H,resolved,1645800.0
21,7,0,7S,resolved,1277810.0
22,7,1,7P,resolved,15514673.0
23,7,2,7D,resolved,5333630.0
24,7,3,7F,resolved,2650782.7
25,7,4,7G,resolved,1574616.0
26,7,5,7H,resolved,1041580.0
27,7,6,7I,resolved,741200.0
28,8,0,8S,resolved,905285.0
29,8,1,8P,resolved,10432434.0
30,8,2,8D,resolved,3596494.1
31,8,3,8F,resolved,1790093.0999999999
32,8,4,8G,resolved,1063354.2
33,8,5,8H,resolved,702380.6
34,8,6,8I,resolved,498450.0
35,8,7,8J,resolved,372690.0
36,9,-1,n9(bund),bundled,845327.7293827161
37,10,-1,n10(bund),bundled,523945.39120000013
38,11,-1,n11(bund),bundled,339263.0232644628
39,12,-1,n12(bund),bundled,227817.04054861102
40,13,-1,n13(bund),bundled,157756.0170591716
41,14,-1,n14(bund),bundled,112157.20425561228
42,15,-1,n15(bund),bundled,81576.19763911114
