sparse_idx,i,j,label_i,label_j,source,g_i,g_j,E_pn_eV
0,0,1,1S,2S,CCC,2,2,10.20435
1,0,2,1S,2P,CCC,2,6,10.20435
2,0,3,1S,3S,CCC,2,2,12.09404444
3,0,4,1S,3P,CCC,2,6,12.09404444
4,0,5,1S,3D,CCC,2,10,12.09404444
5,0,6,1S,4S,CCC,2,2,12.7554375
6,0,7,1S,4P,CCC,2,6,12.7554375
7,0,8,1S,4D,CCC,2,10,12.7554375
8,0,9,1S,4F,CCC,2,14,12.7554375
9,0,10,1S,5S,CCC,2,2,13.061568
10,0,11,1S,5P,CCC,2,6,13.061568
11,0,12,1S,5D,CCC,2,10,13.061568
12,0,13,1S,5F,CCC,2,14,13.061568
13,0,14,1S,5G,CCC,2,18,13.061568
14,0,15,1S,6S,CCC,2,2,13.22786111
15,0,16,1S,6P,CCC,2,6,13.22786111
16,0,17,1S,6D,CCC,2,10,13.22786111
17,0,18,1S,6F,CCC,2,14,13.22786111
18,0,19,1S,6G,CCC,2,18,13.22786111
19,0,20,1S,6H,CCC,2,22,13.22786111
20,0,21,1S,7S,CCC,2,2,13.32813061
21,0,22,1S,7P,CCC,2,6,13.32813061
22,0,23,1S,7D,CCC,2,10,13.32813061
23,0,24,1S,7F,CCC,2,14,13.32813061
24,0,25,1S,7G,CCC,2,18,13.32813061
25,0,26,1S,7H,CCC,2,22,13.32813061
26,0,27,1S,7I,CCC,2,26,13.32813061
27,0,28,1S,8S,CCC,2,2,13.39320937
28,0,29,1S,8P,CCC,2,6,13.39320937
29,0,30,1S,8D,CCC,2,10,13.39320937
30,0,31,1S,8F,CCC,2,14,13.39320937
31,0,32,1S,8G,CCC,2,18,13.39320937
32,0,33,1S,8H,CCC,2,22,13.39320937
33,0,34,1S,8I,CCC,2,26,13.39320937
34,0,35,1S,8J,CCC,2,30,13.39320937
35,1,3,2S,3S,CCC,2,2,1.88969444
36,1,4,2S,3P,CCC,2,6,1.88969444
37,1,5,2S,3D,CCC,2,10,1.88969444
38,1,6,2S,4S,CCC,2,2,2.5510875
39,1,7,2S,4P,CCC,2,6,2.5510875
40,1,8,2S,4D,CCC,2,10,2.5510875
41,1,9,2S,4F,CCC,2,14,2.5510875
42,1,10,2S,5S,CCC,2,2,2.857218
43,1,11,2S,5P,CCC,2,6,2.857218
44,1,12,2S,5D,CCC,2,10,2.857218
45,1,13,2S,5F,CCC,2,14,2.857218
46,1,14,2S,5G,CCC,2,18,2.857218
47,1,15,2S,6S,CCC,2,2,3.02351111
48,1,16,2S,6P,CCC,2,6,3.02351111
49,1,17,2S,6D,CCC,2,10,3.02351111
50,1,18,2S,6F,CCC,2,14,3.02351111
51,1,19,2S,6G,CCC,2,18,3.02351111
52,1,20,2S,6H,CCC,2,22,3.02351111
53,1,21,2S,7S,CCC,2,2,3.12378061
54,1,22,2S,7P,CCC,2,6,3.12378061
55,1,23,2S,7D,CCC,2,10,3.12378061
56,1,24,2S,7F,CCC,2,14,3.12378061
57,1,25,2S,7G,CCC,2,18,3.12378061
58,1,26,2S,7H,CCC,2,22,3.12378061
59,1,27,2S,7I,CCC,2,26,3.12378061
60,1,28,2S,8S,CCC,2,2,3.18885938
61,1,29,2S,8P,CCC,2,6,3.18885938
62,1,30,2S,8D,CCC,2,10,3.18885938
63,1,31,2S,8F,CCC,2,14,3.18885938
64,1,32,2S,8G,CCC,2,18,3.18885938
65,1,33,2S,8H,CCC,2,22,3.18885938
66,1,34,2S,8I,CCC,2,26,3.18885938
67,1,35,2S,8J,CCC,2,30,3.18885938
68,2,3,2P,3S,CCC,6,2,1.88969444
69,2,4,2P,3P,CCC,6,6,1.88969444
70,2,5,2P,3D,CCC,6,10,1.88969444
71,2,6,2P,4S,CCC,6,2,2.5510875
72,2,7,2P,4P,CCC,6,6,2.5510875
73,2,8,2P,4D,CCC,6,10,2.5510875
74,2,9,2P,4F,CCC,6,14,2.5510875
75,2,10,2P,5S,CCC,6,2,2.857218
76,2,11,2P,5P,CCC,6,6,2.857218
77,2,12,2P,5D,CCC,6,10,2.857218
78,2,13,2P,5F,CCC,6,14,2.857218
79,2,14,2P,5G,CCC,6,18,2.857218
80,2,15,2P,6S,CCC,6,2,3.02351111
81,2,16,2P,6P,CCC,6,6,3.02351111
82,2,17,2P,6D,CCC,6,10,3.02351111
83,2,18,2P,6F,CCC,6,14,3.02351111
84,2,19,2P,6G,CCC,6,18,3.02351111
85,2,20,2P,6H,CCC,6,22,3.02351111
86,2,21,2P,7S,CCC,6,2,3.12378061
87,2,22,2P,7P,CCC,6,6,3.12378061
88,2,23,2P,7D,CCC,6,10,3.12378061
89,2,24,2P,7F,CCC,6,14,3.12378061
90,2,25,2P,7G,CCC,6,18,3.12378061
91,2,26,2P,7H,CCC,6,22,3.12378061
92,2,27,2P,7I,CCC,6,26,3.12378061
93,2,28,2P,8S,CCC,6,2,3.18885938
94,2,29,2P,8P,CCC,6,6,3.18885938
95,2,30,2P,8D,CCC,6,10,3.18885938
96,2,31,2P,8F,CCC,6,14,3.18885938
97,2,32,2P,8G,CCC,6,18,3.18885938
98,2,33,2P,8H,CCC,6,22,3.18885938
99,2,34,2P,8I,CCC,6,26,3.18885938
100,2,35,2P,8J,CCC,6,30,3.18885938
101,3,6,3S,4S,CCC,2,2,0.66139306
102,3,7,3S,4P,CCC,2,6,0.66139306
103,3,8,3S,4D,CCC,2,10,0.66139306
104,3,9,3S,4F,CCC,2,14,0.66139306
105,3,10,3S,5S,CCC,2,2,0.96752356
106,3,11,3S,5P,CCC,2,6,0.96752356
107,3,12,3S,5D,CCC,2,10,0.96752356
108,3,13,3S,5F,CCC,2,14,0.96752356
109,3,14,3S,5G,CCC,2,18,0.96752356
