idx,label,n,l,bundled,g,I_eV
0,1S,1,0,False,2,13.6058
1,2S,2,0,False,2,3.40145
2,2P,2,1,False,6,3.40145
3,3S,3,0,False,2,1.51175556
4,3P,3,1,False,6,1.51175556
5,3D,3,2,False,10,1.51175556
6,4S,4,0,False,2,0.8503625
7,4P,4,1,False,6,0.8503625
8,4D,4,2,False,10,0.8503625
9,4F,4,3,False,14,0.8503625
10,5S,5,0,False,2,0.544232
11,5P,5,1,False,6,0.544232
12,5D,5,2,False,10,0.544232
13,5F,5,3,False,14,0.544232
14,5G,5,4,False,18,0.544232
15,6S,6,0,False,2,0.37793889
16,6P,6,1,False,6,0.37793889
17,6D,6,2,False,10,0.37793889
18,6F,6,3,False,14,0.37793889
19,6G,6,4,False,18,0.37793889
20,6H,6,5,False,22,0.37793889
21,7S,7,0,False,2,0.27766939
22,7P,7,1,False,6,0.27766939
23,7D,7,2,False,10,0.27766939
24,7F,7,3,False,14,0.27766939
25,7G,7,4,False,18,0.27766939
26,7H,7,5,False,22,0.27766939
27,7I,7,6,False,26,0.27766939
28,8S,8,0,False,2,0.21259063
29,8P,8,1,False,6,0.21259063
30,8D,8,2,False,10,0.21259063
31,8F,8,3,False,14,0.21259063
32,8G,8,4,False,18,0.21259063
33,8H,8,5,False,22,0.21259063
34,8I,8,6,False,26,0.21259063
35,8J,8,7,False,30,0.21259063
36,n9,9,-1,True,162,0.16797284
37,n10,10,-1,True,200,0.136058
38,n11,11,-1,True,242,0.11244463
39,n12,12,-1,True,288,0.09448472
40,n13,13,-1,True,338,0.08050769
41,n14,14,-1,True,392,0.06941735
42,n15,15,-1,True,450,0.06047022
