i_upper,j_lower,A_ij,ups_0.5eV,ups_1eV,ups_3eV,ups_5eV,ups_10eV,ups_15eV,ups_20eV,ups_25eV
2,1,8.23,0.26,0.296,0.326,0.339,0.373,0.406,0.436,0.461
3,1,627000000.0,0.429,0.529,0.853,1.15,1.81,2.35,2.81,3.2
4,1,0.0,0.0651,0.0696,0.0776,0.0813,0.087,0.0921,0.0966,0.101
5,1,167000000.0,0.112,0.126,0.186,0.243,0.354,0.438,0.507,0.566
6,1,0.0,0.0621,0.0658,0.0782,0.0897,0.109,0.12,0.126,0.13
7,1,0.0,0.0223,0.0255,0.0319,0.034,0.0361,0.0376,0.039,0.0402
8,1,68200000.0,0.0403,0.0479,0.074,0.0946,0.133,0.161,0.184,0.204
9,1,0.0,0.03,0.0319,0.0404,0.0472,0.0569,0.0615,0.0641,0.0656
10,1,0.0,0.0123,0.0114,0.0105,0.0105,0.0106,0.0104,0.0101,0.0098
11,1,0.0,0.0145,0.0172,0.0192,0.0193,0.0194,0.0197,0.0202,0.0207
12,1,34400000.0,0.0269,0.0315,0.0404,0.0477,0.0634,0.0759,0.0865,0.0957
13,1,0.0,0.0208,0.0222,0.0247,0.0275,0.0313,0.033,0.0339,0.0344
14,1,0.0,0.00919,0.00914,0.00952,0.00992,0.0103,0.0102,0.00996,0.00966
15,1,0.0,0.00466,0.00403,0.00285,0.00235,0.00176,0.00147,0.00129,0.00115
4,2,0.0,1.38,1.45,2.28,3.09,4.5,5.4,6.03,6.5
5,2,22500000.0,2.46,3.05,5.28,7.74,13.5,18.4,22.4,25.8
6,2,0.0,2.09,3.08,6.56,9.38,14.2,17.2,19.3,20.8
7,2,0.0,0.392,0.388,0.508,0.638,0.88,1.04,1.16,1.25
8,2,9670000.0,0.77,0.903,1.45,1.95,3.01,3.85,4.54,5.13
9,2,0.0,0.654,0.754,1.12,1.41,1.93,2.25,2.48,2.65
10,2,0.0,0.565,0.738,1.29,1.62,2.04,2.21,2.3,2.34
11,2,0.0,0.201,0.213,0.233,0.264,0.337,0.392,0.434,0.466
12,2,4950000.0,0.42,0.518,0.714,0.868,1.21,1.49,1.73,1.93
13,2,0.0,0.435,0.487,0.556,0.609,0.718,0.796,0.855,0.901
14,2,0.0,0.391,0.461,0.676,0.814,0.977,1.04,1.07,1.09
15,2,0.0,0.235,0.254,0.252,0.247,0.236,0.224,0.214,0.205
4,3,6320000.0,2.04,2.22,2.28,2.35,2.68,3.02,3.34,3.62
5,3,0.0,7.26,7.92,10.7,13.3,17.7,20.4,22.3,23.7
6,3,64700000.0,13.2,17.8,36.9,55.8,94.4,123.0,146.0,165.0
7,3,2580000.0,0.736,0.771,0.758,0.742,0.751,0.784,0.821,0.857
8,3,0.0,2.16,2.26,2.69,3.08,3.77,4.21,4.53,4.76
9,3,20600000.0,3.54,4.31,7.62,10.6,16.3,20.4,23.4,26.0
10,3,0.0,2.72,3.21,4.93,6.09,7.62,8.33,8.72,8.95
11,3,1290000.0,0.463,0.51,0.475,0.438,0.403,0.397,0.401,0.407
12,3,0.0,1.32,1.4,1.37,1.4,1.53,1.65,1.74,1.81
13,3,9430000.0,2.07,2.48,3.44,4.27,5.9,7.08,8.01,8.77
14,3,0.0,1.71,2.02,2.9,3.47,4.17,4.46,4.6,4.68
15,3,0.0,0.844,0.909,0.915,0.888,0.814,0.751,0.701,0.661
7,4,0.0,2.62,4.31,10.8,15.4,22.2,26.2,28.8,30.7
8,4,3070000.0,4.5,5.95,15.2,25.7,48.8,67.1,82.1,94.6
9,4,0.0,6.41,10.1,22.9,32.4,47.2,55.6,61.2,65.1
10,4,0.0,6.84,10.6,19.6,24.8,31.7,35.3,37.5,39.0
11,4,0.0,1.04,1.59,2.91,3.58,4.53,5.1,5.5,5.8
12,4,1640000.0,2.61,3.46,5.57,7.36,11.2,14.2,16.7,18.7
13,4,0.0,3.38,4.26,6.14,7.14,8.66,9.61,10.3,10.8
14,4,0.0,2.94,3.41,4.12,4.45,4.73,4.79,4.78,4.76
15,4,0.0,3.77,4.82,6.71,7.83,9.16,9.67,9.89,9.99
7,5,1840000.0,4.07,4.88,7.63,9.79,14.1,17.5,20.3,22.7
8,5,0.0,14.1,20.7,44.9,61.9,87.0,101.0,110.0,116.0
9,5,7040000.0,21.3,31.3,82.4,134.0,238.0,317.0,379.0,430.0
10,5,0.0,25.4,40.9,87.9,119.0,167.0,194.0,212.0,224.0
11,5,905000.0,2.25,2.58,3.01,3.24,3.77,4.22,4.62,4.96
12,5,0.0,7.47,9.77,14.0,15.9,18.8,20.6,21.8,22.7
13,5,3390000.0,11.5,15.3,26.7,35.6,52.1,64.1,73.6,81.3
14,5,0.0,10.4,12.5,16.5,18.3,20.4,21.4,22.0,22.4
15,5,0.0,14.7,18.6,24.7,28.6,33.6,35.7,36.7,37.2
7,6,0.0,4.21,4.27,4.35,4.56,4.93,5.12,5.23,5.29
8,6,348000.0,13.7,15.5,19.7,21.9,25.2,27.4,29.1,30.5
9,6,0.0,34.4,46.1,83.0,107.0,141.0,158.0,169.0,176.0
10,6,13800000.0,65.4,112.0,327.0,518.0,871.0,1120.0,1310.0,1460.0
11,6,0.0,2.78,2.92,2.53,2.27,1.95,1.81,1.73,1.68
12,6,150000.0,8.21,8.88,8.76,8.51,8.32,8.34,8.42,8.51
13,6,0.0,16.9,21.0,27.3,29.4,32.0,33.3,34.2,34.8
14,6,4540000.0,28.5,40.1,78.1,106.0,150.0,179.0,200.0,217.0
15,6,0.0,29.8,38.7,53.2,61.8,74.3,80.6,84.2,86.6
11,7,0.0,6.73,15.8,43.4,57.6,75.1,84.3,90.4,94.8
