i,j,Te,ups_2000,ups_2002,pct
2,1,0.5,0.26,0.26,0.0
2,1,1.0,0.296,0.296,0.0
2,1,3.0,0.325,0.326,0.3076923076922977
2,1,5.0,0.337,0.339,0.5934718100890191
2,1,10.0,0.356,0.373,4.7752808988763995
2,1,15.0,0.368,0.406,10.326086956521753
2,1,20.0,0.375,0.436,16.266666666666673
2,1,25.0,0.38,0.461,21.31578947368422
3,1,0.5,0.427,0.429,0.4683840749414525
3,1,1.0,0.536,0.529,-1.3059701492537323
3,1,3.0,0.857,0.853,-0.4667444574095736
3,1,5.0,1.15,1.15,0.0
3,1,10.0,1.75,1.81,3.4285714285714253
3,1,15.0,2.13,2.35,10.328638497652598
3,1,20.0,2.35,2.81,19.57446808510639
3,1,25.0,2.46,3.2,30.08130081300815
4,1,0.5,0.0645,0.0651,0.9302325581395321
4,1,1.0,0.0689,0.0696,1.0159651669085612
4,1,3.0,0.0772,0.0776,0.5181347150259086
4,1,5.0,0.0806,0.0813,0.8684863523573005
4,1,10.0,0.0833,0.087,4.441776710684264
4,1,15.0,0.0841,0.0921,9.512485136741988
4,1,20.0,0.0845,0.0966,14.319526627218938
4,1,25.0,0.0846,0.101,19.385342789598113
5,1,0.5,0.111,0.112,0.9009009009008917
5,1,1.0,0.126,0.126,0.0
5,1,3.0,0.186,0.186,0.0
5,1,5.0,0.24,0.243,1.2499999999999956
5,1,10.0,0.313,0.354,13.09904153354633
5,1,15.0,0.329,0.438,33.130699088145896
5,1,20.0,0.32,0.507,58.43750000000001
5,1,25.0,0.304,0.566,86.18421052631578
6,1,0.5,0.0617,0.0621,0.6482982171799101
6,1,1.0,0.0656,0.0658,0.304878048780477
6,1,3.0,0.0781,0.0782,0.1280409731114096
6,1,5.0,0.0898,0.0897,-0.11135857461024301
6,1,10.0,0.11,0.109,-0.909090909090915
6,1,15.0,0.122,0.12,-1.6393442622950838
6,1,20.0,0.129,0.126,-2.3255813953488413
6,1,25.0,0.135,0.13,-3.703703703703709
7,1,0.5,0.0213,0.0223,4.694835680751175
7,1,1.0,0.0251,0.0255,1.5936254980079667
7,1,3.0,0.0318,0.0319,0.3144654088050203
7,1,5.0,0.0338,0.034,0.5917159763313862
7,1,10.0,0.0348,0.0361,3.735632183908044
7,1,15.0,0.0348,0.0376,8.045977011494255
7,1,20.0,0.0347,0.039,12.391930835734865
7,1,25.0,0.0346,0.0402,16.184971098265887
8,1,0.5,0.0381,0.0403,5.774278215223094
8,1,1.0,0.047,0.0479,1.9148936170212627
8,1,3.0,0.0739,0.074,0.13531799729364913
8,1,5.0,0.0941,0.0946,0.5313496280552554
8,1,10.0,0.123,0.133,8.130081300813007
8,1,15.0,0.133,0.161,21.052631578947366
8,1,20.0,0.132,0.184,39.393939393939384
8,1,25.0,0.128,0.204,59.37499999999998
9,1,0.5,0.0287,0.03,4.529616724738683
9,1,1.0,0.0312,0.0319,2.2435897435897356
9,1,3.0,0.0402,0.0404,0.4975124378109319
9,1,5.0,0.0472,0.0472,0.0
9,1,10.0,0.0574,0.0569,-0.8710801393728262
9,1,15.0,0.0628,0.0615,-2.07006369426751
9,1,20.0,0.066,0.0641,-2.8787878787878807
9,1,25.0,0.0682,0.0656,-3.8123167155425075
10,1,0.5,0.0118,0.0123,4.237288135593231
10,1,1.0,0.0111,0.0114,2.7027027027026973
10,1,3.0,0.0105,0.0105,0.0
10,1,5.0,0.0106,0.0105,-0.9433962264150941
10,1,10.0,0.0111,0.0106,-4.504504504504503
10,1,15.0,0.0116,0.0104,-10.344827586206895
10,1,20.0,0.0118,0.0101,-14.406779661016955
10,1,25.0,0.012,0.0098,-18.333333333333336
11,1,0.5,0.014,0.0145,3.571428571428581
11,1,1.0,0.0169,0.0172,1.775147928994092
11,1,3.0,0.0191,0.0192,0.5235602094240788
