series,Te_eV,n_upper,K_CCC,K_And,R_CCC,R_And
1s->np,1.0,2,6.796180930819731e-13,7.841278682916282e-13,5.436944744655785e-12,6.273022946333026e-12
1s->np,1.0,3,2.4507666314106157e-14,2.8223956399220024e-14,6.617069904808662e-13,7.620468227789406e-13
1s->np,1.0,4,4.844585116728412e-15,5.537879561838377e-15,3.1005344747061835e-13,3.5442429195765615e-13
1s->np,1.0,5,1.4505968438859242e-15,2.6814380014728333e-15,1.8132460548574054e-13,3.351797501841042e-13
1s->np,1.0,6,7.023963298128408e-16,,1.5171760723957362e-13,
1s->np,1.0,7,3.901482589124748e-16,,1.3382085280697886e-13,
1s->np,1.0,8,2.266937887152063e-16,,1.1606721982218563e-13,
1s->np,1.0,9,1.5907413635134864e-16,,1.1596504540013316e-13,
1s->np,1.0,10,1.0909099631659301e-16,,1.0909099631659301e-13,
1s->np,10.0,2,7.81702249749311e-09,8.262917160398426e-09,6.253617997994488e-08,6.610333728318741e-08
1s->np,10.0,3,1.1242837336605247e-09,1.3377954020291684e-09,3.0355660808834165e-08,3.6120475854787545e-08
1s->np,10.0,4,3.643866163575785e-10,4.704507253374322e-10,2.3320743446885022e-08,3.010884642159566e-08
1s->np,10.0,5,1.6297182097466353e-10,2.1749870760562006e-10,2.037147762183294e-08,2.7187338450702508e-08
1s->np,10.0,6,8.791751912557012e-11,,1.8990184131123144e-08,
1s->np,10.0,7,5.271996878060435e-11,,1.808294929174729e-08,
1s->np,10.0,8,3.413744375223879e-11,,1.747837120114626e-08,
1s->np,10.0,9,2.3499732480472302e-11,,1.7131304978264308e-08,
1s->np,10.0,10,1.7234200187427756e-11,,1.7234200187427756e-08,
2p->nd,1.0,3,3.40668918486952e-08,3.591195030600194e-08,9.198060799147705e-07,9.696226582620525e-07
2p->nd,1.0,4,4.256112382889987e-09,4.488041921477088e-09,2.7239119250495917e-07,2.8723468297453364e-07
2p->nd,1.0,5,1.1667618042269312e-09,1.9014308183078743e-09,1.4584522552836638e-07,2.376788522884843e-07
2p->nd,1.0,6,4.863799830959341e-10,,1.0505807634872177e-07,
2p->nd,1.0,7,2.5418592456507637e-10,,8.718577212582119e-08,
2p->nd,1.0,8,1.4528783838209763e-10,,7.438737325163399e-08,
2p->nd,1.0,9,9.363841882997302e-11,,6.826240732705034e-08,
2p->nd,1.0,10,6.296475102209409e-11,,6.296475102209409e-08,
2p->nd,10.0,3,3.405416015147513e-07,3.299183458628257e-07,9.194623240898284e-06,8.907795338296293e-06
2p->nd,10.0,4,4.7589564195331824e-08,5.3320982209241886e-08,3.0457321085012367e-06,3.4125428613914807e-06
2p->nd,10.0,5,1.5788391474191935e-08,1.8718345940536636e-08,1.973548934273992e-06,2.3397932425670795e-06
2p->nd,10.0,6,7.325782222572904e-09,,1.5823689600757473e-06,
2p->nd,10.0,7,4.026951255419394e-09,,1.3812442806088523e-06,
2p->nd,10.0,8,2.476714086499458e-09,,1.2680776122877226e-06,
