n_i,l_i,l_i_char,n_f,l_f,l_f_char,E_eV,sigma_a0sq,filename
2,1,P,1,0,S,3.85e-05,32890.0,1S.2P
2,1,P,1,0,S,7.02e-05,17350.0,1S.2P
2,1,P,1,0,S,0.000128,9215.0,1S.2P
2,1,P,1,0,S,0.0002332,4963.0,1S.2P
2,1,P,1,0,S,0.0004249,2711.0,1S.2P
2,1,P,1,0,S,0.0007743,1506.0,1S.2P
2,1,P,1,0,S,0.0014108,858.0,1S.2P
2,1,P,1,0,S,0.0025707,507.4,1S.2P
2,1,P,1,0,S,0.0046841,322.7,1S.2P
2,1,P,1,0,S,0.008535,250.8,1S.2P
2,1,P,1,0,S,0.0155517,289.7,1S.2P
2,1,P,1,0,S,0.0283371,155.8,1S.2P
2,1,P,1,0,S,0.0516335,60.81,1S.2P
2,1,P,1,0,S,0.0940823,26.62,1S.2P
2,1,P,1,0,S,0.1714292,13.78,1S.2P
2,1,P,1,0,S,0.3123644,7.691,1S.2P
2,1,P,1,0,S,0.569165,4.911,1S.2P
2,1,P,1,0,S,1.0370863,3.534,1S.2P
2,1,P,1,0,S,1.8897392,2.362,1S.2P
2,1,P,1,0,S,1.8898431,2.359,1S.2P
2,1,P,1,0,S,1.8901882,2.35,1S.2P
2,1,P,1,0,S,1.8913338,2.321,1S.2P
2,1,P,1,0,S,1.8951375,2.307,1S.2P
2,1,P,1,0,S,1.9077661,2.336,1S.2P
2,1,P,1,0,S,1.9496946,2.305,1S.2P
2,1,P,1,0,S,2.0889022,2.173,1S.2P
2,1,P,1,0,S,2.5511563,1.998,1S.2P
2,1,P,1,0,S,2.5513161,2.0,1S.2P
2,1,P,1,0,S,2.5518463,2.001,1S.2P
2,1,P,1,0,S,2.5536069,1.999,1S.2P
2,1,P,1,0,S,2.5594521,1.995,1S.2P
2,1,P,1,0,S,2.578859,1.985,1S.2P
2,1,P,1,0,S,2.6432922,1.936,1S.2P
2,1,P,1,0,S,2.8574296,1.882,1S.2P
2,1,P,1,0,S,2.8580209,1.886,1S.2P
2,1,P,1,0,S,2.8602638,1.958,1S.2P
2,1,P,1,0,S,2.8687726,1.898,1S.2P
2,1,P,1,0,S,2.9010524,1.835,1S.2P
2,1,P,1,0,S,3.024625,1.836,1S.2P
2,1,P,1,0,S,3.0285032,1.833,1S.2P
2,1,P,1,0,S,3.0458842,1.822,1S.2P
2,1,P,1,0,S,3.1238491,1.824,1S.2P
2,1,P,1,0,S,3.1241607,1.804,1S.2P
2,1,P,1,0,S,3.1258913,1.811,1S.2P
2,1,P,1,0,S,3.13065,1.801,1S.2P
2,1,P,1,0,S,3.1355008,1.803,1S.2P
2,1,P,1,0,S,3.18897,1.805,1S.2P
2,1,P,1,0,S,3.1896766,1.797,1S.2P
2,1,P,1,0,S,3.1948978,1.79,1S.2P
2,1,P,1,0,S,3.29565,1.766,1S.2P
2,1,P,1,0,S,3.39565,1.748,1S.2P
2,1,P,1,0,S,3.49565,1.709,1S.2P
2,1,P,1,0,S,3.60145,1.706,1S.2P
2,1,P,1,0,S,3.80145,1.676,1S.2P
2,1,P,1,0,S,4.00145,1.646,1S.2P
2,1,P,1,0,S,4.20145,1.608,1S.2P
2,1,P,1,0,S,4.40145,1.585,1S.2P
2,1,P,1,0,S,5.40145,1.481,1S.2P
2,1,P,1,0,S,6.40145,1.403,1S.2P
