ni,li,nf,lf,threshold_eV,n_points,sigma_max_cm2,filename
4,1,7,2,13.328199,55,3.729977e-12,4P.7D
9,8,4,2,13.500000,47,2.798883e-16,9K.4D
7,0,6,2,13.328199,55,1.034705e-14,7S.6D
10,5,5,2,13.500000,47,1.479389e-15,:H.5D
7,4,6,4,13.328199,55,4.060410e-14,7G.6G
4,2,7,4,13.328199,55,5.527759e-12,4D.7G
9,5,9,4,13.500000,47,3.239927e-09,9H.9G
10,8,8,4,13.500000,47,1.497591e-13,:K.8G
8,0,8,5,13.393320,50,3.155919e-11,8S.8H
10,9,6,2,13.500000,47,7.669975e-15,:L.6D
7,1,8,5,13.393320,50,4.640069e-12,7P.8H
4,0,9,5,13.500000,47,7.756784e-16,4S.9H
8,2,6,4,13.393320,50,7.513159e-15,8D.6G
8,1,6,2,13.393320,50,5.085314e-15,8P.6D
6,5,4,2,13.228975,58,4.824888e-15,6H.4D
7,4,9,2,13.500000,47,5.807787e-14,7G.9D
4,2,8,2,13.393320,50,1.378859e-12,4D.8D
6,4,3,2,13.228975,58,7.163124e-16,6G.3D
4,1,8,4,13.393320,50,8.644474e-13,4P.8G
7,0,9,4,13.500000,47,6.068213e-15,7S.9G
9,5,6,2,13.500000,47,9.431353e-15,9H.6D
4,0,5,2,13.061780,63,1.126554e-12,4S.5D
10,8,7,2,13.500000,47,2.127095e-14,:K.7D
7,1,4,2,13.328199,55,1.118433e-15,7P.4D
8,4,7,5,13.393320,50,4.676473e-14,8G.7H
10,9,9,4,13.500000,47,2.397882e-13,:L.9G
6,5,8,5,13.393320,50,1.183680e-11,6H.8H
7,2,7,5,13.328199,55,3.018705e-10,7D.7H
10,5,9,5,13.500000,47,5.519358e-13,:H.9H
9,8,8,5,13.500000,47,3.094313e-13,9K.8H
8,1,9,4,13.500000,47,2.136336e-13,8P.9G
9,2,3,2,13.500000,47,8.918901e-17,9D.3D
8,2,9,2,13.500000,47,3.066310e-13,8D.9D
8,0,4,2,13.393320,50,1.495631e-16,8S.4D
9,0,7,1,13.500000,47,1.176679e-14,9S.7P
10,1,6,1,13.500000,47,1.754377e-15,:P.6P
10,2,6,0,13.500000,47,3.287532e-15,:D.6S
9,4,7,0,13.500000,47,1.975880e-14,9G.7S
7,5,8,0,13.393320,50,1.184520e-11,7H.8S
