label,Te_eV,n_lower,n_upper,l_upper,dn,dipole,K_CCC,K_And2002,pct_err
1S->2S,0.5,1,2,0,1,False,1.8440100268368567e-17,2.0170964568910795e-17,-8.580969415860174
1S->2S,1.0,1,2,0,1,False,3.9603317671148737e-13,4.3875585825013597e-13,-9.73723330077847
1S->2S,3.0,1,2,0,1,False,2.25185822459277e-10,2.5121763384416016e-10,-10.362254825245143
1S->2S,5.0,1,2,0,1,False,6.956406807108656e-10,7.88860535936553e-10,-11.817026074832693
1S->2S,10.0,1,2,0,1,False,1.4625427093233444e-09,1.7028000557064159e-09,-14.109545367814746
1S->2S,15.0,1,2,0,1,False,1.8156427949436902e-09,2.126465418880324e-09,-14.616867087370522
1S->2S,20.0,1,2,0,1,False,2.0024443760769343e-09,2.3442879766749375e-09,-14.581979859098338
1S->2S,25.0,1,2,0,1,False,2.1092796558724065e-09,2.455202506217445e-09,-14.089381607791573
1S->2P,0.5,1,2,1,1,True,2.825188558268028e-17,3.328209153870281e-17,-15.113851694605929
1S->2P,1.0,1,2,1,1,True,6.796180930819731e-13,7.841278682916282e-13,-13.328154684432981
1S->2P,3.0,1,2,1,1,True,5.887355498319722e-10,6.573271216842595e-10,-10.434921911716666
1S->2P,5.0,1,2,1,1,True,2.4398352599049132e-09,2.6760755643865365e-09,-8.827863742920094
1S->2P,10.0,1,2,1,1,True,7.81702249749311e-09,8.262917160398426e-09,-5.39633466304551
1S->2P,15.0,1,2,1,1,True,1.2119459961311107e-08,1.2308358951647196e-08,-1.534721168582831
1S->2P,20.0,1,2,1,1,True,1.538980972142328e-08,1.5108828473524255e-08,1.8597156516231506
1S->2P,25.0,1,2,1,1,True,1.7923440127846765e-08,1.70426204336135e-08,5.168334867659241
1S->3S,0.5,1,3,0,2,False,1.0097167027627759e-19,1.1533644676226787e-19,-12.454672299380821
1S->3S,1.0,1,3,0,2,False,1.3770837351447825e-14,1.559037591575963e-14,-11.670908861617079
1S->3S,3.0,1,3,0,2,False,2.6841085587321936e-11,3.185172460349752e-11,-15.73113882701781
1S->3S,5.0,1,3,0,2,False,1.043532182806189e-10,1.2964456168356055e-10,-19.5082177566949
