label,Te_eV,n_lower,n_upper,Upsilon_interp,K_CCC_stored,K_And2002,pct_err
1S->2S,1.0,1,2,0.296,3.960331767114874e-13,4.3875585825013597e-13,-9.737233300778458
1S->2S,1.0481131341546857,1,2,0.2972247904854128,6.218274219598877e-13,6.874591812142996e-13,-9.54700454192533
1S->2S,1.0985411419875581,1,2,0.2984546489158699,9.553540447848357e-13,1.0542226174131344e-12,-9.378339166247795
1S->2S,1.1513953993264474,1,2,0.2996895962615435,1.4376185129280115e-12,1.5838273922177378e-12,-9.23136447873899
1S->2S,1.2067926406393286,1,2,0.3009296535793756,2.1208851490975055e-12,2.3333639406392202e-12,-9.10611447451728
1S->2S,1.264855216855296,1,2,0.3021748420134384,3.0702642691655118e-12,3.3740106993564697e-12,-9.002533105449018
1S->2S,1.3257113655901092,1,2,0.30342518279529374,4.365086281048879e-12,4.792609958640101e-12,-8.920477178003672
1S->2S,1.3894954943731377,1,2,0.30468069724435554,6.099931556330866e-12,6.692904038319495e-12,-8.859718869322341
1S->2S,1.4563484775012439,1,2,0.30594140676825354,8.385186901643391e-12,9.196295357539116e-12,-8.819947863361943
1S->2S,1.5264179671752334,1,2,0.307207332863198,1.1347012720953374e-11,1.2442005386514552e-11,-8.80077311932369
1S->2S,1.599858719606058,1,2,0.3084784971143462,1.51266293059652e-11,1.6586529940776635e-11,-8.801724290880086
1S->2S,1.676832936811008,1,2,0.3097549211961708,1.9878864756452515e-11,2.1802320599959203e-11,-8.822252817942179
1S->2S,1.7575106248547918,1,2,0.31103662687282907,2.576994838574181e-11,2.8275661972940003e-11,-8.861732714148928
1S->2S,1.842069969326716,1,2,0.31232363599853424,3.29745788783663e-11,3.620375907668218e-11,-8.919461074404577
1S->2S,1.93069772888325,1,2,0.3136159705179279,4.167234226475317e-11,4.579109478590868e-11,-8.994658329118987
1S->2S,2.023589647725157,1,2,0.31491365246645436,5.204359724588717e-11,5.724516060404476e-11,-9.086468276569148
1S->2S,2.120950887920191,1,2,0.3162167039707365,6.426498116341067e-11,7.077170164057855e-11,-9.193957932808983
1S->2S,2.2229964825261948,1,2,0.31752514724895253,7.850471625320628e-11,8.656964597518221e-11,-9.31611725002085
1S->2S,2.329951810515372,1,2,0.31883900461121534,9.491791091625604e-11,1.04825907661351e-10,-9.45185876863912
1S->2S,2.442053094548651,1,2,0.3201582984599528,1.1364205376403228e-10,1.257102605009429e-10,-9.600017284842155
1S->2S,2.5595479226995357,1,2,0.32148305129028953,1.34792889324832e-10,1.4937047635878087e-10,-9.75934963140519
1S->2S,2.6826957952797255,1,2,0.32281328569043083,1.5846084461733118e-10,1.759279079808456e-10,-9.928534684455059
1S->2S,2.8117686979742302,1,2,0.3241490243420473,1.84708147128813e-10,2.0547367352250868e-10,-10.106173719340694
1S->2S,2.9470517025518106,1,2,0.32549029002066204,2.1356673941555463e-10,2.3806557027638544e-10,-10.290791243936937
1S->2S,3.088843596477481,1,2,0.3267291036859371,2.450370561886324e-10,2.736353591783259e-10,-10.451245436835599
1S->2S,3.237457542817644,1,2,0.3279065012367778,2.790876890247956e-10,3.1217022510628153e-10,-10.597594972493829
1S->2S,3.393221771895328,1,2,0.3290881416450105,3.156559242566821e-10,3.536611988353531e-10,-10.746238123895624
1S->2S,3.5564803062231287,1,2,0.3302740402001511,3.5464910333479573e-10,3.9801442486850917e-10,-10.895414543842197
1S->2S,3.72759372031494,1,2,0.33146421224681316,3.959467237609284e-10,4.4510050086130584e-10,-11.043298537130564
1S->2S,3.906939937054617,1,2,0.3326586731849054,4.3940317380794545e-10,4.947565614157351e-10,-11.188004753165293
1S->2S,4.094915062380425,1,2,0.3338574384698319,4.848509763767349e-10,5.467890216866322e-10,-11.327594895530712
1S->2S,4.2919342601287775,1,2,0.3350605236126913,5.321044067069971e-10,6.009768693520235e-10,-11.460085430456745
1S->2S,4.498432668969445,1,2,0.3362679441804783,5.809633450166139e-10,6.57075384768765e-10,-11.58345625425249
1S->2S,4.714866363457394,1,2,0.3374797157962842,6.312172278899418e-10,7.14820165984321e-10,-11.695660261522756
1S->2S,4.941713361323834,1,2,0.3386958541395,6.826489704905195e-10,7.739313371123723e-10,-11.7946337413391
1S->2S,5.17947467923121,1,2,0.340652505024233,7.350387443845278e-10,8.359242078220756e-10,-12.068733324567283
1S->2S,5.428675439323859,1,2,0.3428669908058271,7.881675117905549e-10,8.996094540874315e-10,-12.387813599616281
1S->2S,5.689866029018296,1,2,0.3450958723344203,8.418202352792263e-10,9.64135607948445e-10,-12.686532025250052
