label,Te_eV,Te_match,n_lower,n_upper,K_stored,K_Anderson2002,pct_err
1S->2S,1.0,exact,1,2,3.960331767114874e-13,4.3875585825013597e-13,-9.737233300778458
1S->2S,3.0,interp,1,2,2.2498611799230198e-10,2.5121763384416016e-10,-10.441749430746805
1S->2S,5.0,interp,1,2,6.953613558015583e-10,7.88860535936553e-10,-11.85243473030254
1S->2S,10.0,exact,1,2,1.4625427093233442e-09,1.7028000557064159e-09,-14.109545367814757
1S->2P,1.0,exact,1,2,6.796180930819734e-13,7.841278682916282e-13,-13.328154684432947
1S->2P,3.0,interp,1,2,5.882481797879151e-10,6.573271216842595e-10,-10.509066128192678
1S->2P,5.0,interp,1,2,2.4388932333305552e-09,2.6760755643865365e-09,-8.863065535683145
1S->2P,10.0,exact,1,2,7.81702249749311e-09,8.262917160398426e-09,-5.39633466304551
1S->3S,1.0,exact,1,3,1.377083735144781e-14,1.559037591575963e-14,-11.67090886161718
1S->3S,3.0,interp,1,3,2.681263062429368e-11,3.185172460349752e-11,-15.82047453295673
1S->3S,5.0,interp,1,3,1.0430248904298192e-10,1.2964456168356055e-10,-19.547347232685432
1S->3S,10.0,exact,1,3,2.542753455572686e-10,3.2878022592242275e-10,-22.660997983112875
1S->3P,1.0,exact,1,3,2.4507666314106138e-14,2.8223956399220024e-14,-13.16714790991027
1S->3P,3.0,interp,1,3,6.255347994919115e-11,7.634562855992962e-11,-18.065407110915245
1S->3P,5.0,interp,1,3,3.1177322166367246e-10,3.8749850540104814e-10,-19.542084080815357
1S->3P,10.0,exact,1,3,1.1242837336605247e-09,1.3377954020291684e-09,-15.959964284881611
1S->3D,1.0,exact,1,3,1.2729749881910319e-14,1.473917723070379e-14,-13.633239612639636
1S->3D,3.0,interp,1,3,2.777920380622511e-11,3.2098000824658584e-11,-13.45503429333722
1S->3D,5.0,interp,1,3,1.2117903165064717e-10,1.4303957174680667e-10,-15.282861818724324
1S->3D,10.0,exact,1,3,3.3880632289160017e-10,4.119200531671733e-10,-17.749495251181845
1S->4S,1.0,exact,1,4,2.840485724928823e-15,2.9481404765527896e-15,-3.651615398932595
1S->4S,3.0,interp,1,4,8.380818330319792e-12,1.0503050712155456e-11,-20.205866276352914
1S->4S,5.0,interp,1,4,3.5379628812993686e-11,4.750013066699475e-11,-25.51677581473042
1S->4S,10.0,exact,1,4,9.07643375604198e-11,1.2769376830587446e-10,-28.920307729500806
1S->4P,1.0,exact,1,4,4.844585116728412e-15,5.537879561838377e-15,-12.519131869307332
1S->4P,3.0,interp,1,4,1.8051942600970705e-11,2.4364443658291654e-11,-25.908660775731253
1S->4P,5.0,interp,1,4,9.604547090791665e-11,1.3216212826757949e-10,-27.327539162005586
1S->4P,10.0,exact,1,4,3.6438661635757837e-10,4.704507253374322e-10,-22.545211064087322
1S->4D,1.0,exact,1,4,3.0397473751111223e-15,3.6880659294915286e-15,-17.578822254671287
1S->4D,3.0,interp,1,4,1.0555526779596086e-11,1.330166924047274e-11,-20.64509657570659
1S->4D,5.0,interp,1,4,5.064631156524423e-11,6.594135786712211e-11,-23.194921664638457
1S->4D,10.0,exact,1,4,1.506425725075134e-10,2.0126801708045033e-10,-25.153248542564544
1S->4F,1.0,exact,1,4,8.339238093200735e-16,1.3179922130471296e-15,-36.72771348230617
1S->4F,3.0,interp,1,4,2.0211864611914126e-12,3.4571170055684107e-12,-41.53549162681307
1S->4F,5.0,interp,1,4,7.905175544051816e-12,1.4669158000101318e-11,-46.1102297487203
1S->4F,10.0,exact,1,4,1.7806652010408957e-11,3.749456908704347e-11,-52.50871674489473
1S->5S,1.0,exact,1,5,7.907415244131728e-16,1.4641502738200866e-15,-45.99314438195854
1S->5S,3.0,interp,1,5,3.3063425358719547e-12,5.708330095232525e-12,-42.078638048045946
1S->5S,5.0,interp,1,5,1.5085151051083316e-11,2.5361973177236105e-11,-40.520593781626005
1S->5S,10.0,exact,1,5,4.1166887603084975e-11,6.655323229572601e-11,-38.14442036389467
1S->5P,1.0,exact,1,5,1.4505968438859234e-15,2.6814380014728333e-15,-45.902279184185716
1S->5P,3.0,interp,1,5,7.394740861067274e-12,1.201127790871844e-11,-38.435019843311025
1S->5P,5.0,interp,1,5,4.1434881818575e-11,6.268218241213275e-11,-33.89687432045303
1S->5P,10.0,exact,1,5,1.6297182097466353e-10,2.1749870760562006e-10,-25.069981900686745
1S->5D,1.0,exact,1,5,1.0499798104254256e-15,1.889775353418949e-15,-44.438908649865695
1S->5D,3.0,interp,1,5,4.8903862729280196e-12,7.343528820429344e-12,-33.40550037301957
1S->5D,5.0,interp,1,5,2.4843425395957757e-11,3.6137526547875276e-11,-31.2531106326688
1S->5D,10.0,exact,1,5,7.652008178233639e-11,1.0737712220908373e-10,-28.737071539934554
1S->5F,1.0,exact,1,5,4.174183741689404e-16,7.780426455067205e-16,-46.35019345281699
1S->5F,3.0,interp,1,5,1.3978329225693243e-12,2.830380338886128e-12,-50.61324786055328
1S->5F,5.0,interp,1,5,5.8148994373589724e-12,1.3035791394724463e-11,-55.392816122293574
1S->5F,10.0,exact,1,5,1.3521926175890442e-11,3.533496353845247e-11,-61.73216321229392
1S->5G,1.0,exact,1,5,6.857301792515795e-17,3.4305381415668307e-16,-80.01100261959525
1S->5G,3.0,interp,1,5,1.6269379034562018e-13,8.473302485110781e-13,-80.79924673626317
1S->5G,5.0,interp,1,5,5.765442036695716e-13,3.088115905000251e-12,-81.33022783451761
1S->5G,10.0,exact,1,5,1.1099188985195856e-12,6.037819012395762e-12,-81.61722144633849
2S->3S,1.0,exact,2,3,8.592607432273626e-09,8.776235046691486e-09,-2.0923278996166417
2S->3S,3.0,interp,2,3,2.7346625104890154e-08,2.8082582491688716e-08,-2.620689842240742
2S->3S,5.0,interp,2,3,3.593233836353694e-08,3.792807637666521e-08,-5.261901482449338
2S->3S,10.0,exact,2,3,4.308401664047328e-08,4.718111937656935e-08,-8.683776032093748
2S->3P,1.0,exact,2,3,1.7759544927401334e-08,1.846035647752347e-08,-3.796305618341722
2S->3P,3.0,interp,2,3,6.389714726892654e-08,6.503334892812125e-08,-1.7471061815538813
2S->3P,5.0,interp,2,3,9.629427873857818e-08,9.50043078172779e-08,1.3578025575232688
2S->3P,10.0,exact,2,3,1.5414939955316046e-07,1.4154335812970805e-07,8.906134198045823
2S->3D,1.0,exact,2,3,1.780284995545837e-08,1.864193375435157e-08,-4.501055576905111
2S->3D,3.0,interp,2,3,7.735210950733526e-08,8.079900927433245e-08,-4.266017365750274
2S->3D,5.0,interp,2,3,1.0926707021304668e-07,1.1513441955117142e-07,-5.096086262472543
2S->3D,10.0,exact,2,3,1.4140535886441088e-07,1.4888264336606326e-07,-5.022267426611782
2S->4S,1.0,exact,2,4,1.0548265844319967e-09,1.2120837115079654e-09,-12.974114376994928
2S->4S,3.0,interp,2,4,4.483435811976107e-09,5.01902613455963e-09,-10.671200113814816
2S->4S,5.0,interp,2,4,6.1741282384612175e-09,6.860806096874359e-09,-10.008705226722226
2S->4S,10.0,exact,2,4,7.760794957398415e-09,8.63603638235574e-09,-10.134758426279078
2S->4P,1.0,exact,2,4,2.7660773399032846e-09,2.8209061636383835e-09,-1.9436599643704922
2S->4P,3.0,interp,2,4,1.2826740166429806e-08,1.4325960423447764e-08,-10.465059323800274
2S->4P,5.0,interp,2,4,1.864073192415906e-08,2.0969548415211597e-08,-11.105706450803588
2S->4P,10.0,exact,2,4,2.7779969359100807e-08,2.953916989873952e-08,-5.955484008756051
2S->4D,1.0,exact,2,4,2.320654800531356e-09,2.3554410270025925e-09,-1.476845570423957
2S->4D,3.0,interp,2,4,9.70860664522018e-09,1.1065569430525171e-08,-12.262927758256259
2S->4D,5.0,interp,2,4,1.275917627167557e-08,1.516259654638377e-08,-15.850980848536844
2S->4D,10.0,exact,2,4,1.564358039826317e-08,1.8940397974939293e-08,-17.406274044707303
2S->4F,1.0,exact,2,4,2.05040402556142e-09,2.3054581935383466e-09,-11.063057603550707
2S->4F,3.0,interp,2,4,1.0853412962705876e-08,1.2745164790515597e-08,-14.84289814139933
2S->4F,5.0,interp,2,4,1.475521495094602e-08,1.7420855606483483e-08,-15.301433613544202
2S->4F,10.0,exact,2,4,1.6938201659035408e-08,2.0019902522733762e-08,-15.39318615662042
2S->5S,1.0,exact,2,5,3.113939395014697e-10,4.899251181043273e-10,-36.44050325356868
2S->5S,3.0,interp,2,5,1.5629224537064919e-09,2.0787139802440875e-09,-24.813010901914943
2S->5S,5.0,interp,2,5,2.2001360357639774e-09,2.6703502977586942e-09,-17.60871082679234
2S->5S,10.0,exact,2,5,2.8342956754521562e-09,3.207499617946193e-09,-11.635354230626682
2S->5P,1.0,exact,2,5,7.906004766764293e-10,1.1914610853429182e-09,-33.6444566757391
2S->5P,3.0,interp,2,5,4.612936133324737e-09,6.369964729159993e-09,-27.583019224455818
2S->5P,5.0,interp,2,5,6.832049235768625e-09,8.779788100206615e-09,-22.184349351121057
2S->5P,10.0,exact,2,5,1.0129578781236892e-08,1.1516541654940336e-08,-12.043223697354222
2S->5D,1.0,exact,2,5,6.931443058676811e-10,1.1201574296563727e-09,-38.12081342170672
2S->5D,3.0,interp,2,5,3.46105736412491e-09,4.960364691054561e-09,-30.22574790989616
2S->5D,5.0,interp,2,5,4.540852650518416e-09,6.160012618693351e-09,-26.285010573864508
2S->5D,10.0,exact,2,5,5.3670105209570735e-09,6.833782568799307e-09,-21.463545746085167
2S->5F,1.0,exact,2,5,6.317041470953311e-10,1.0603543635966898e-09,-40.42518531704724
2S->5F,3.0,interp,2,5,3.977537460258118e-09,6.030946998476409e-09,-34.04787902690972
2S->5F,5.0,interp,2,5,5.592124568493753e-09,8.233580084755972e-09,-32.08149418686934
2S->5F,10.0,exact,2,5,6.720164795056078e-09,9.298893551137776e-09,-27.73156550185667
2S->5G,1.0,exact,2,5,2.4354562900342337e-10,5.842299530445969e-10,-58.31339565281885
2S->5G,3.0,interp,2,5,1.2831343482563172e-09,2.24822284558588e-09,-42.92672762508397
2S->5G,5.0,interp,2,5,1.5894497998416272e-09,2.4983959225242326e-09,-36.38118820512081
2S->5G,10.0,exact,2,5,1.5444094008473672e-09,2.246201512864396e-09,-31.243506337153658
2P->3S,1.0,exact,2,3,4.269803068631581e-09,4.478906161759793e-09,-4.6686196490005045
2P->3S,3.0,interp,2,3,9.096273632199741e-09,9.360860830562905e-09,-2.8265263542781804
2P->3S,5.0,interp,2,3,9.519452085597415e-09,9.614992393221494e-09,-0.9936597317688478
2P->3S,10.0,exact,2,3,9.642591589088194e-09,9.366325920681916e-09,2.9495628354790693
2P->3P,1.0,exact,2,3,1.557414580746369e-08,1.5978800360872775e-08,-2.5324463931595265
2P->3P,3.0,interp,2,3,4.236779385811109e-08,4.393035565220311e-08,-3.556906769575985
2P->3P,5.0,interp,2,3,5.1153582579005625e-08,5.441676545950888e-08,-5.996649843018265
