state_idx,n,l,label,type,source,Te_eV,K_ion_cm3s,I_n_eV
0,1,0,1S,resolved,CCC_TICS,1.0,6.5058110539626145e-15,13.6058
0,1,0,1S,resolved,CCC_TICS,1.048113,1.2524596932932462e-14,13.6058
0,1,0,1S,resolved,CCC_TICS,1.098541,2.342748533945398e-14,13.6058
0,1,0,1S,resolved,CCC_TICS,1.151395,4.2634132970851606e-14,13.6058
0,1,0,1S,resolved,CCC_TICS,1.206793,7.55793232673132e-14,13.6058
0,1,0,1S,resolved,CCC_TICS,1.264855,1.306716158991099e-13,13.6058
0,1,0,1S,resolved,CCC_TICS,1.325711,2.2059070718321702e-13,13.6058
0,1,0,1S,resolved,CCC_TICS,1.389495,3.6399300065049507e-13,13.6058
0,1,0,1S,resolved,CCC_TICS,1.456348,5.876911235491419e-13,13.6058
0,1,0,1S,resolved,CCC_TICS,1.526418,9.293624902280701e-13,13.6058
0,1,0,1S,resolved,CCC_TICS,1.599859,1.440823722501182e-12,13.6058
0,1,0,1S,resolved,CCC_TICS,1.676833,2.191881689014803e-12,13.6058
0,1,0,1S,resolved,CCC_TICS,1.757511,3.274738831474177e-12,13.6058
0,1,0,1S,resolved,CCC_TICS,1.84207,4.808891863667148e-12,13.6058
0,1,0,1S,resolved,CCC_TICS,1.930698,6.946421192676784e-12,13.6058
0,1,0,1S,resolved,CCC_TICS,2.02359,9.877526452300872e-12,13.6058
0,1,0,1S,resolved,CCC_TICS,2.120951,1.3836124626613326e-11,13.6058
0,1,0,1S,resolved,CCC_TICS,2.222996,1.9105294672636617e-11,13.6058
0,1,0,1S,resolved,CCC_TICS,2.329952,2.6022329321125613e-11,13.6058
0,1,0,1S,resolved,CCC_TICS,2.442053,3.498314324086038e-11,13.6058
0,1,0,1S,resolved,CCC_TICS,2.559548,4.64457885571632e-11,13.6058
0,1,0,1S,resolved,CCC_TICS,2.682696,6.093284439878163e-11,13.6058
0,1,0,1S,resolved,CCC_TICS,2.811769,7.903247625687539e-11,13.6058
0,1,0,1S,resolved,CCC_TICS,2.947052,1.0139800204538435e-10,13.6058
0,1,0,1S,resolved,CCC_TICS,3.088844,1.2874585258632579e-10,13.6058
0,1,0,1S,resolved,CCC_TICS,3.237458,1.61851871910847e-10,13.6058
0,1,0,1S,resolved,CCC_TICS,3.393222,2.0154596399179904e-10,13.6058
0,1,0,1S,resolved,CCC_TICS,3.55648,2.487051539125535e-10,13.6058
0,1,0,1S,resolved,CCC_TICS,3.727594,3.042451897656569e-10,13.6058
0,1,0,1S,resolved,CCC_TICS,3.90694,3.6911086384314253e-10,13.6058
0,1,0,1S,resolved,CCC_TICS,4.094915,4.4426527551668317e-10,13.6058
0,1,0,1S,resolved,CCC_TICS,4.291934,5.306782918197735e-10,13.6058
0,1,0,1S,resolved,CCC_TICS,4.498433,6.293144840218838e-10,13.6058
0,1,0,1S,resolved,CCC_TICS,4.714866,7.411208289942665e-10,13.6058
0,1,0,1S,resolved,CCC_TICS,4.941713,8.670144631215368e-10,13.6058
0,1,0,1S,resolved,CCC_TICS,5.179475,1.0078707646983543e-09,13.6058
0,1,0,1S,resolved,CCC_TICS,5.428675,1.1645120194303024e-09,13.6058
0,1,0,1S,resolved,CCC_TICS,5.689866,1.3376968944626378e-09,13.6058
0,1,0,1S,resolved,CCC_TICS,5.963623,1.5281109111676042e-09,13.6058
0,1,0,1S,resolved,CCC_TICS,6.250552,1.7363580677346117e-09,13.6058
0,1,0,1S,resolved,CCC_TICS,6.551286,1.96295372144252e-09,13.6058
0,1,0,1S,resolved,CCC_TICS,6.866488,2.2083187992680276e-09,13.6058
0,1,0,1S,resolved,CCC_TICS,7.196857,2.472775365928859e-09,13.6058
0,1,0,1S,resolved,CCC_TICS,7.54312,2.7565435420424203e-09,13.6058
0,1,0,1S,resolved,CCC_TICS,7.906043,3.059739732952431e-09,13.6058
0,1,0,1S,resolved,CCC_TICS,8.286428,3.3823761017454173e-09,13.6058
0,1,0,1S,resolved,CCC_TICS,8.685114,3.7243611985038397e-09,13.6058
0,1,0,1S,resolved,CCC_TICS,9.102982,4.085501642047671e-09,13.6058
0,1,0,1S,resolved,CCC_TICS,9.540955,4.465504740128217e-09,13.6058
0,1,0,1S,resolved,CCC_TICS,10.0,4.863981928836881e-09,13.6058
