n,l,label,Te_eV,K_ion_cm3s,K_ion_Lotz
1,0,1S,1.0,6.5058110539626145e-15,1.8790247774125142e-14
1,0,1S,1.048113,1.2524596932932462e-14,3.581892481076249e-14
1,0,1S,1.098541,2.342748533945398e-14,6.634226720484121e-14
1,0,1S,1.151395,4.2634132970851606e-14,1.1954618215055555e-13
1,0,1S,1.206793,7.55793232673132e-14,2.0984199031450998e-13
1,0,1S,1.264855,1.306716158991099e-13,3.5923525558402947e-13
1,0,1S,1.325711,2.2059070718321702e-13,6.004682538924732e-13
1,0,1S,1.389495,3.6399300065049507e-13,9.810644940084649e-13
1,0,1S,1.456348,5.876911235491419e-13,1.5683809905694964e-12
1,0,1S,1.526418,9.293624902280701e-13,2.4557345420838685e-12
1,0,1S,1.599859,1.440823722501182e-12,3.7696117950586564e-12
1,0,1S,1.676833,2.191881689014803e-12,5.67790101572265e-12
1,0,1S,1.757511,3.274738831474177e-12,8.398999913790283e-12
1,0,1S,1.84207,4.808891863667148e-12,1.2211564108573241e-11
1,0,1S,1.930698,6.946421192676784e-12,1.7464571867854743e-11
1,0,1S,2.02359,9.877526452300872e-12,2.458730032388191e-11
1,0,1S,2.120951,1.3836124626613326e-11,3.409874418438853e-11
1,0,1S,2.222996,1.9105294672636617e-11,4.661596684840329e-11
1,0,1S,2.329952,2.6022329321125613e-11,6.286086102519896e-11
1,0,1S,2.442053,3.498314324086038e-11,8.366481446258759e-11
1,0,1S,2.559548,4.64457885571632e-11,1.0997082671429947e-10
1,0,1S,2.682696,6.093284439878163e-11,1.428327029326337e-10
1,0,1S,2.811769,7.903247625687539e-11,1.8341105601666247e-10
1,0,1S,2.947052,1.0139800204538435e-10,2.329659727156321e-10
1,0,1S,3.088844,1.2874585258632579e-10,2.928463348109332e-10
1,0,1S,3.237458,1.61851871910847e-10,3.6447592499193133e-10
1,0,1S,3.393222,2.0154596399179904e-10,4.4933658029770586e-10
1,0,1S,3.55648,2.487051539125535e-10,5.48948776530263e-10
1,0,1S,3.727594,3.042451897656569e-10,6.648501285944311e-10
1,0,1S,3.90694,3.6911086384314253e-10,7.98572369610178e-10
1,0,1S,4.094915,4.4426527551668317e-10,9.516174229746767e-10
1,0,1S,4.291934,5.306782918197735e-10,1.1254332052278798e-09
1,0,1S,4.498433,6.293144840218838e-10,1.3213897941900605e-09
1,0,1S,4.714866,7.411208289942665e-10,1.5407565684508783e-09
1,0,1S,4.941713,8.670144631215368e-10,1.7846808741193436e-09
1,0,1S,5.179475,1.0078707646983543e-09,2.0541687068382233e-09
1,0,1S,5.428675,1.1645120194303024e-09,2.3500678159476274e-09
1,0,1S,5.689866,1.3376968944626378e-09,2.6730535480232537e-09
1,0,1S,5.963623,1.5281109111676042e-09,3.023617653352996e-09
1,0,1S,6.250552,1.7363580677346117e-09,3.40206018542302e-09
1,0,1S,6.551286,1.96295372144252e-09,3.8084845337965565e-09
1,0,1S,6.866488,2.2083187992680276e-09,4.2427955478750786e-09
1,0,1S,7.196857,2.472775365928859e-09,4.704700635222541e-09
1,0,1S,7.54312,2.7565435420424203e-09,5.1937136549966504e-09
1,0,1S,7.906043,3.059739732952431e-09,5.70916137548684e-09
1,0,1S,8.286428,3.3823761017454173e-09,6.250192225125679e-09
1,0,1S,8.685114,3.7243611985038397e-09,6.815787038420303e-09
1,0,1S,9.102982,4.085501642047671e-09,7.404771481425222e-09
1,0,1S,9.540955,4.465504740128217e-09,8.015829834706077e-09
1,0,1S,10.0,4.863981928836881e-09,8.647519814059954e-09
2,0,2S,1.0,3.408194916478055e-09,6.981850007804317e-09
2,0,2S,1.048113,4.076454538444784e-09,8.288036107497823e-09
2,0,2S,1.098541,4.839385107976968e-09,9.765968160336489e-09
2,0,2S,1.151395,5.704098362989442e-09,1.1426225429839399e-08
2,0,2S,1.206793,6.6773810736529425e-09,1.3278494306764106e-08
2,0,2S,1.264855,7.765588374957824e-09,1.5331405269855817e-08
2,0,2S,1.325711,8.974542453675676e-09,1.759238768557445e-08
2,0,2S,1.389495,1.0309438938069814e-08,2.0067545348787394e-08
2,0,2S,1.456348,1.1774763077659245e-08,2.2761554928708972e-08
2,0,2S,1.526418,1.3374217479155288e-08,2.56775887318217e-08
2,0,2S,1.599859,1.5110662797088977e-08,2.8817262457494317e-08
2,0,2S,1.676833,1.698607237853926e-08,3.218060792909144e-08
2,0,2S,1.757511,1.9001501446267742e-08,3.57660701546932e-08
2,0,2S,1.84207,2.115707098897469e-08,3.957052752259601e-08
2,0,2S,1.930698,2.3451966126233902e-08,4.3589333477524344e-08
2,0,2S,2.02359,2.5884448342709212e-08,4.781637765882109e-08
2,0,2S,2.120951,2.8451880653616968e-08,5.224416421218688e-08
2,0,2S,2.222996,3.1150764481096056e-08,5.6863904808438455e-08
2,0,2S,2.329952,3.397678679676012e-08,6.166562380991577e-08
2,0,2S,2.442053,3.6924875924123406e-08,6.663827300906284e-08
2,0,2S,2.559548,3.998926429787218e-08,7.176985341437307e-08
2,0,2S,2.682696,4.316355644431308e-08,7.70475416655727e-08
2,0,2S,2.811769,4.6440800475255716e-08,8.245781881166225e-08
2,0,2S,2.947052,4.98135614700901e-08,8.798659937153543e-08
2,0,2S,3.088844,5.327399524981259e-08,9.361935880726836e-08
2,0,2S,3.237458,5.68139212125553e-08,9.934125776561559e-08
2,0,2S,3.393222,6.042489309208018e-08,1.0513726167561929e-07
2,0,2S,3.55648,6.40982667076487e-08,1.1099225452253824e-07
2,0,2S,3.727594,6.782526398486539e-08,1.1689114584472201e-07
2,0,2S,3.90694,7.159703273261433e-08,1.2281897021593353e-07
2,0,2S,4.094915,7.540470185253353e-08,1.2876097867739662e-07
2,0,2S,4.291934,7.923943182788201e-08,1.347027217689585e-07
2,0,2S,4.498433,8.309246048343715e-08,1.4063012397553463e-07
2,0,2S,4.714866,8.69551441246085e-08,1.4652954955256402e-07
2,0,2S,4.941713,9.081899425165977e-08,1.5238785982231009e-07
2,0,2S,5.179475,9.467571010496694e-08,1.581924621417819e-07
2,0,2S,5.428675,9.851720733220592e-08,1.6393135083356868e-07
2,0,2S,5.689866,1.0233564308189576e-07,1.69593140444003e-07
2,0,2S,5.963623,1.0612343782404389e-07,1.7516709175008572e-07
2,0,2S,6.250552,1.098732941821559e-07,1.8064313097894023e-07
2,0,2S,6.551286,1.1357821303580746e-07,1.8601186273272197e-07
2,0,2S,6.866488,1.1723150712310378e-07,1.9126457712945018e-07
2,0,2S,7.196857,1.208268123408068e-07,1.963932516776455e-07
2,0,2S,7.54312,1.243580969091395e-07,2.013905484014524e-07
2,0,2S,7.906043,1.278196685400362e-07,2.0624980672446534e-07
2,0,2S,8.286428,1.312061797230776e-07,2.1096503260607496e-07
2,0,2S,8.685114,1.3451263122323733e-07,2.1553088440498493e-07
2,0,2S,9.102982,1.3773437386928983e-07,2.199426559216938e-07
2,0,2S,9.540955,1.4086710870146441e-07,2.2419625704614684e-07
2,0,2S,10.0,1.4390688554176574e-07,2.2828819240927562e-07
2,1,2P,1.0,4.338172652642491e-09,6.981850007804317e-09
2,1,2P,1.048113,5.186809227819448e-09,8.288036107497823e-09
2,1,2P,1.098541,6.154888783703637e-09,9.765968160336489e-09
2,1,2P,1.151395,7.251149253094254e-09,1.1426225429839399e-08
2,1,2P,1.206793,8.48386492344565e-09,1.3278494306764106e-08
2,1,2P,1.264855,9.860710176740156e-09,1.5331405269855817e-08
2,1,2P,1.325711,1.1388631206481043e-08,1.759238768557445e-08
2,1,2P,1.389495,1.3073728688800515e-08,2.0067545348787394e-08
2,1,2P,1.456348,1.492115399590967e-08,2.2761554928708972e-08
2,1,2P,1.526418,1.693502108077268e-08,2.56775887318217e-08
2,1,2P,1.599859,1.9118335653062234e-08,2.8817262457494317e-08
2,1,2P,1.676833,2.1472942729919602e-08,3.218060792909144e-08
2,1,2P,1.757511,2.399949310231507e-08,3.57660701546932e-08
2,1,2P,1.84207,2.669742872925375e-08,3.957052752259601e-08
