n,l,l_char,type,E_eV,sigma_a0sq,filename
1,-1,bundled,bundled,13.6058,0.0,TICS.1
1,-1,bundled,bundled,13.7,0.01066,TICS.1
1,-1,bundled,bundled,13.806,0.02624,TICS.1
1,-1,bundled,bundled,14.006,0.06522,TICS.1
1,-1,bundled,bundled,14.206,0.1074,TICS.1
1,-1,bundled,bundled,14.406,0.1379,TICS.1
1,-1,bundled,bundled,14.606,0.1812,TICS.1
1,-1,bundled,bundled,15.606,0.3756,TICS.1
1,-1,bundled,bundled,16.606,0.5655,TICS.1
1,-1,bundled,bundled,17.606,0.7412,TICS.1
1,-1,bundled,bundled,18.606,0.8824,TICS.1
1,-1,bundled,bundled,20.606,1.144,TICS.1
1,-1,bundled,bundled,22.606,1.362,TICS.1
1,-1,bundled,bundled,24.606,1.534,TICS.1
1,-1,bundled,bundled,26.606,1.662,TICS.1
1,-1,bundled,bundled,28.606,1.761,TICS.1
1,-1,bundled,bundled,32.606,1.92,TICS.1
1,-1,bundled,bundled,36.606,2.023,TICS.1
1,-1,bundled,bundled,40.606,2.077,TICS.1
1,-1,bundled,bundled,44.606,2.113,TICS.1
1,-1,bundled,bundled,48.606,2.145,TICS.1
1,-1,bundled,bundled,56.606,2.165,TICS.1
1,-1,bundled,bundled,64.606,2.155,TICS.1
1,-1,bundled,bundled,72.606,2.119,TICS.1
1,-1,bundled,bundled,80.606,2.076,TICS.1
1,-1,bundled,bundled,88.606,2.025,TICS.1
1,-1,bundled,bundled,104.61,1.921,TICS.1
1,-1,bundled,bundled,120.61,1.818,TICS.1
1,-1,bundled,bundled,136.61,1.721,TICS.1
1,-1,bundled,bundled,152.61,1.632,TICS.1
1,-1,bundled,bundled,168.61,1.549,TICS.1
1,-1,bundled,bundled,200.61,1.416,TICS.1
1,-1,bundled,bundled,232.61,1.28,TICS.1
1,-1,bundled,bundled,264.61,1.166,TICS.1
1,-1,bundled,bundled,296.61,1.069,TICS.1
1,-1,bundled,bundled,328.61,0.9874,TICS.1
1,-1,bundled,bundled,392.61,0.8575,TICS.1
1,-1,bundled,bundled,456.61,0.7588,TICS.1
1,-1,bundled,bundled,520.61,0.6797,TICS.1
1,-1,bundled,bundled,584.61,0.6171,TICS.1
1,-1,bundled,bundled,648.61,0.5656,TICS.1
1,-1,bundled,bundled,712.61,0.5224,TICS.1
1,-1,bundled,bundled,776.61,0.4856,TICS.1
1,-1,bundled,bundled,840.61,0.4539,TICS.1
1,-1,bundled,bundled,904.61,0.4262,TICS.1
1,-1,bundled,bundled,968.61,0.4019,TICS.1
1,0,S,resolved,13.6058,0.0,TICS.1S
1,0,S,resolved,13.7,0.01066,TICS.1S
1,0,S,resolved,13.806,0.02624,TICS.1S
1,0,S,resolved,14.006,0.06522,TICS.1S
1,0,S,resolved,14.206,0.1074,TICS.1S
1,0,S,resolved,14.406,0.1379,TICS.1S
1,0,S,resolved,14.606,0.1812,TICS.1S
1,0,S,resolved,15.606,0.3756,TICS.1S
1,0,S,resolved,16.606,0.5655,TICS.1S
1,0,S,resolved,17.606,0.7412,TICS.1S
1,0,S,resolved,18.606,0.8824,TICS.1S
1,0,S,resolved,20.606,1.144,TICS.1S
1,0,S,resolved,22.606,1.362,TICS.1S
1,0,S,resolved,24.606,1.534,TICS.1S
1,0,S,resolved,26.606,1.662,TICS.1S
