idx,type,p,l_p,n,l_n,label_p,label_n,g_p,g_n,f_pn,E_pn_eV,f_source
0,res->bund,1,0,9,-1,1S,n9,2,162,0.0022161,13.43782716,HoangBinh
1,res->bund,2,0,9,-1,2S,n9,2,162,0.00542899,3.23347716,HoangBinh
2,res->bund,2,1,9,-1,2P,n9,6,162,0.00542899,3.23347716,HoangBinh
3,res->bund,3,0,9,-1,3S,n9,2,162,0.01023422,1.34378272,HoangBinh
4,res->bund,3,1,9,-1,3P,n9,6,162,0.01023422,1.34378272,HoangBinh
5,res->bund,3,2,9,-1,3D,n9,10,162,0.01023422,1.34378272,HoangBinh
6,res->bund,4,0,9,-1,4S,n9,2,162,0.0186998,0.68238966,HoangBinh
7,res->bund,4,1,9,-1,4P,n9,6,162,0.0186998,0.68238966,HoangBinh
8,res->bund,4,2,9,-1,4D,n9,10,162,0.0186998,0.68238966,HoangBinh
9,res->bund,4,3,9,-1,4F,n9,14,162,0.0186998,0.68238966,HoangBinh
10,res->bund,5,0,9,-1,5S,n9,2,162,0.03645386,0.37625916,HoangBinh
11,res->bund,5,1,9,-1,5P,n9,6,162,0.03645386,0.37625916,HoangBinh
12,res->bund,5,2,9,-1,5D,n9,10,162,0.03645386,0.37625916,HoangBinh
13,res->bund,5,3,9,-1,5F,n9,14,162,0.03645386,0.37625916,HoangBinh
14,res->bund,5,4,9,-1,5G,n9,18,162,0.03645386,0.37625916,HoangBinh
15,res->bund,6,0,9,-1,6S,n9,2,162,0.08314634,0.20996605,HoangBinh
16,res->bund,6,1,9,-1,6P,n9,6,162,0.08314634,0.20996605,HoangBinh
17,res->bund,6,2,9,-1,6D,n9,10,162,0.08314634,0.20996605,HoangBinh
18,res->bund,6,3,9,-1,6F,n9,14,162,0.08314634,0.20996605,HoangBinh
19,res->bund,6,4,9,-1,6G,n9,18,162,0.08314634,0.20996605,HoangBinh
20,res->bund,6,5,9,-1,6H,n9,22,162,0.08314634,0.20996605,HoangBinh
21,res->bund,7,0,9,-1,7S,n9,2,162,0.26091898,0.10969655,HoangBinh
22,res->bund,7,1,9,-1,7P,n9,6,162,0.26091898,0.10969655,HoangBinh
23,res->bund,7,2,9,-1,7D,n9,10,162,0.26091898,0.10969655,HoangBinh
24,res->bund,7,3,9,-1,7F,n9,14,162,0.26091898,0.10969655,HoangBinh
25,res->bund,7,4,9,-1,7G,n9,18,162,0.26091898,0.10969655,HoangBinh
26,res->bund,7,5,9,-1,7H,n9,22,162,0.26091898,0.10969655,HoangBinh
27,res->bund,7,6,9,-1,7I,n9,26,162,0.26091898,0.10969655,HoangBinh
28,res->bund,8,0,9,-1,8S,n9,2,162,1.80729823,0.04461779,HoangBinh
29,res->bund,8,1,9,-1,8P,n9,6,162,1.80729823,0.04461779,HoangBinh
