LowerState,UpperState,Transition,Energy_eV,CrossSection_cm2
1s,2s,1s -> 2s,14.0,1.31447e-17
1s,2s,1s -> 2s,14.5,1.22421e-17
1s,2s,1s -> 2s,15.0,1.1321e-17
1s,2s,1s -> 2s,15.6,1.10117e-17
1s,2s,1s -> 2s,17.6,1.00414e-17
1s,2s,1s -> 2s,20.0,8.66811e-18
1s,2s,1s -> 2s,25.0,7.54018e-18
1s,2s,1s -> 2s,30.0,7.09643e-18
1s,2s,1s -> 2s,35.0,6.64109e-18
1s,2s,1s -> 2s,45.0,5.8878e-18
1s,2s,1s -> 2s,54.42,5.3565e-18
1s,2s,1s -> 2s,70.0,4.69006e-18
1s,2s,1s -> 2s,100.0,3.75862e-18
1s,2s,1s -> 2s,150.0,2.80052e-18
1s,2s,1s -> 2s,200.0,2.2178e-18
1s,2s,1s -> 2s,500.0,9.90595e-19
1s,2s,1s -> 2s,999.0,5.13346e-19
1s,2p,1s -> 2p,14.0,3.84921e-17
1s,2p,1s -> 2p,14.5,3.86276e-17
1s,2p,1s -> 2p,15.0,4.02108e-17
1s,2p,1s -> 2p,15.6,4.24468e-17
1s,2p,1s -> 2p,17.6,4.7781e-17
1s,2p,1s -> 2p,20.0,5.16294e-17
1s,2p,1s -> 2p,25.0,5.73696e-17
1s,2p,1s -> 2p,30.0,6.18748e-17
1s,2p,1s -> 2p,35.0,6.3609e-17
1s,2p,1s -> 2p,45.0,6.49867e-17
1s,2p,1s -> 2p,54.42,6.44425e-17
1s,2p,1s -> 2p,70.0,6.14247e-17
1s,2p,1s -> 2p,100.0,5.4854e-17
1s,2p,1s -> 2p,150.0,4.58156e-17
1s,2p,1s -> 2p,200.0,3.91167e-17
1s,2p,1s -> 2p,500.0,2.12552e-17
1s,2p,1s -> 2p,999.0,1.26099e-17
1s,3s,1s -> 3s,14.0,2.88982e-18
1s,3s,1s -> 3s,14.5,2.95748e-18
1s,3s,1s -> 3s,15.0,2.63509e-18
1s,3s,1s -> 3s,15.6,2.4446e-18
1s,3s,1s -> 3s,17.6,2.12879e-18
1s,3s,1s -> 3s,20.0,1.78156e-18
1s,3s,1s -> 3s,25.0,1.38722e-18
1s,3s,1s -> 3s,30.0,1.24317e-18
1s,3s,1s -> 3s,35.0,1.15095e-18
1s,3s,1s -> 3s,45.0,1.04304e-18
1s,3s,1s -> 3s,54.42,9.59198e-19
1s,3s,1s -> 3s,70.0,8.56744e-19
1s,3s,1s -> 3s,100.0,7.06792e-19
1s,3s,1s -> 3s,150.0,5.38716e-19
1s,3s,1s -> 3s,200.0,4.33239e-19
1s,3s,1s -> 3s,500.0,1.95993e-19
1s,3s,1s -> 3s,999.0,1.01979e-19
1s,3p,1s -> 3p,14.0,5.63822e-18
1s,3p,1s -> 3p,14.5,5.76509e-18
1s,3p,1s -> 3p,15.0,5.86768e-18
