ba5.out


Z= 1.0000E+00           M= 1.8362E+03
 nu=  15  nl=  14


   lu     ll    R**2         f(nl,ll;nu,lu)   A(nu,lu;nl,ll)


   1      0    5.5819E+03    1.2235E+00       1.4167E+03
   2      1    6.6581E+03    9.7297E-01       2.0278E+03
   3      2    7.8957E+03    1.0384E+00       2.5765E+03
   4      3    9.3163E+03    1.1669E+00       3.1527E+03
   5      4    1.0944E+04    1.3328E+00       3.7878E+03
   6      5    1.2808E+04    1.5313E+00       4.5009E+03
   7      6    1.4939E+04    1.7632E+00       5.3080E+03
   8      7    1.7373E+04    2.0310E+00       6.2248E+03
   9      8    2.0152E+04    2.3385E+00       7.2680E+03
  10      9    2.3322E+04    2.6906E+00       8.4559E+03
  11     10    2.6936E+04    3.0927E+00       9.8087E+03
  12     11    3.1054E+04    3.5515E+00       1.1349E+04
  13     12    3.5745E+04    4.0744E+00       1.3104E+04
  14     13    4.1086E+04    4.6698E+00       1.5102E+04


   0      1    3.8396E+03    2.8055E-01       2.9235E+03
   1      2    3.1421E+03    2.7550E-01       1.5949E+03
   2      3    2.5425E+03    2.3885E-01       1.1615E+03
   3      4    2.0296E+03    1.9773E-01       8.8306E+02
   4      5    1.5934E+03    1.5876E-01       6.7402E+02
   5      6    1.2253E+03    1.2396E-01       5.0888E+02
   6      7    9.1764E+02    9.3868E-02       3.7622E+02
   7      8    6.6388E+02    6.8481E-02       2.6959E+02
   8      9    4.5826E+02    4.7581E-02       1.8472E+02
   9     10    2.9577E+02    3.0873E-02       1.1853E+02
  10     11    1.7212E+02    1.8045E-02       6.8649E+01
  11     12    8.3627E+01    8.7989E-03       3.3221E+01
  12     13    2.7139E+01    2.8643E-03       1.0745E+01
